Name,DataSourceID,Description,Exposed
Customer Contract Item,CRMCCOIB01,Contains data on the customer contract items.,No
Customer Contract Item with Price Components,CRMCCOIPATCB,"Contains data on the customer contract items , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Customer Contract Item Period Values,CRMCCOIPB,Contains customer contract revenue data forecasted over the validity period of customer contract items.,No
Customer Contract Price Components,CRMCCOPATCIU,"Customer Contract Document Price and Tax price components analytical object which provides details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Customer Invoice Item with Price Components,CRMCIVIPATCB,"Contains data on the quantities and values of customer invoice items. It allows you to analyze the development and distribution of sales quote items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .
",No
Customer Invoice  Price Components,CRMCIVPATCIU,"Customer Invoice  Document Price and Tax price components analytical object which provides details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Knowledge Base Article,CRMCPASB,Contains all knowledge base articles. It allows you to analyze all KB articles.,No
Campaign Header,CRMCPGHB,"You can analyze the campaign by using header data such as planned start and end date, ID, description and system administrative data. This report contains the campaign header data.",No
Campaign Inbound,CRMCPGIB,"You can analyze campaigns by responses, such as response classification, type of response and a number of other types of responses. This report contains the data for all campaign responses.",No
Campaign Outbound,CRMCPGOB,You can analyze campaigns by using outbound data. This report contains data on the outbound node.,No
Campaign Header and Item,CRMCPGU,"The report contains header and item data of all campaigns and can be analyzed using three components: information that applies to the entire campaign, contacted members and responses collected from the campaign.",No
Sales Quote Header,CRMCQTHB,Contains data on the quantities and values of sales quotes in total. It allows you to analyze the distribution of sales quotes across organizational units.,No
Sales Quote Item,CRMCQTIB,Contains data on the quantities and values of sales quote items. It allows you to analyze the distribution of sales quote items across organizational units.,No
Sales Quote Item with Price Components,CRMCQTIPATCB,"Contains data on the quantities and values of sales quote items. It allows you to analyze the development and distribution of sales quote items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .
",No
Sales Quote Price Components,CRMCQTPATCIU,"Sales Quote Document Price and Tax price components analytical object which provides details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Customer Returns Header,CRMCRTHB,"Contains values of customer returns in total. It allows you to analyze status, workload and responsibility for the organizational units and is used to calculate the return rate related to sales revenue.",No
Customer Returns Item,CRMCRTIB,Contains all quantities and values of return items. It allows you to analyze status and  reason for return and is used to calculate the return rate for different products.,No
Customer Returns,CRMCRTU,"Contains all quantities and values of customer returns. It allows you to analyze status, workload and responsibility for the organizational units and to calculate return share of sales revenue and return rate of products.",No
E-Mail,CRMEMAHB,Contains all e-mails. It allows you to analyze the usage of activities by type e-mails.,No
Fax,CRMFXAHB,Contains all faxes. It allows you to analyze the usage of activities by type fax.,No
Customer Returns Invoice Reference,CRMINVCRIB,,No
Used Knowledge Base Articles,CRMKBU,Contains knowledge base articles used in service requests and service orders. It allows you to analyze the usage and reuse of them in the different objects.,No
Lead,CRMLEAHB,"Contains all leads. It allows you to analyze leads by various criteria such as by category, by status or by origin.",No
Lead Extended,CRMLEAHB01,"Contains all leads. It allows you to analyze leads by various criteria such as by category, by status or by origin.In contrast to the Lead data source it shows inconsistent leads and provides additional parties as characteristic.",No
Lead Funnel,CRMLEFU,"Contains all leads and their related objects. It allows you to analyze all opportunities, sales quotes and sales orders that originate, either directly or indirectly, from these leads.",No
Letter,CRMLTAHB,Contains all letters. It allows you to analyze the usage of activities by type letters.,No
All Activities with Predecessor Opportunities,CRMOACTU,"Shows all types of activities which includes phone calls, e-mails, faxes, appointments, letters and activity Tasks that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to 60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
All Appointments with Predecessor Opportunities,CRMOAPAHB,"Shows all appointment activities that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
All E-Mails with Predecessor Opportunities,CRMOEMAHB,"Shows all e-mail activities that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
All Fax with Predecessor Opportunities,CRMOFXAHB,"Shows all fax activities that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
All Letters with Predecessor Opportunities,CRMOLTAHB,"Shows all letter activities that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
All Phone Calls with Predecessor Opportunities,CRMOPCAHB,"Shows all phone call activities that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
Supplier Details,BPSPPB,"Provides an overview of supplier master data, including the supplier name and ID and address data along with information that is required in the purchasing process, such as the purchase order currency, the Incoterms, the customer ID at the supplier, and the expected purchase order acknowledgement. In addition, the report also shows financial data, such as bank and tax data.",No
Opportunity Funnel,CRMOPFU,"Contains all opportunities and their related objects. It allows you to analyze all sales quotes and sales orders that originate, either directly or indirectly, from these opportunities.",No
Opportunity Header Period Values,CRMOPPHPB,Contains sales forecast per period revenue data.,No
Opportunity Item,CRMOPPIB,Contains all opportunity item data. It allows you to analyze opportunities by item data such as opportunity items or net values.,No
Opportunity Header and Item,CRMOPPU,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",No
Opportunity Header and Item Extended,CRMOPPU01,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.In contrast to the Opportunity Header and Item data source it shows inconsistent opportunities and provides additional parties as characteristic.",No
Sales Analysis Pipeline,CRMOPQU,Contains all opportunities and quotes. It allows you to analyze opportunities and sales quotes by various criteria or key figures.,No
All Tasks with Predecessor Opportunities,CRMOTKAHB,"Shows all activity tasks that originate directly from opportunities.
Note: Due to technical limitations, the number of characters in data source fields is restricted to  60 characters. If a field contains more than 60 characters, only the first 60 characters are displayed in a report, and the remaining characters will be truncated.
",No
Phone Call,CRMPCAHB,Contains all phone calls. It allows you to analyze the usage of activities by type phone call.,No
Point-of-Sale Transaction Header,CRMPOSTLB,"Provides header master data of received sales transactions documents, including creation, internal and external IDs and transaction details. It allows you to display and compare received data with data from the external system.",No
Sales Transaction Header,CRMPOSTVB,"Provides sales item master data of released sales transactions, including internal and external IDs, payment and tax information, and item details. It allows you to analyze revenue and quantity information for sales items from consistently-released sales transactions.",No
Sales Quote Funnel,CRMQUFU,Contains data on the development of sales quotes. It allows you to analyze and monitor the progress of sales quotes across organizational units.,No
Rebate Due List,CRMREBATE,"Contains all rebate due list entries. It provides a basis for reporting on queries to identify rebate due list with reference Rebate Agreement IDs, Rebate Credit Memo IDs, Account , Products",No
Rebate Due List,CRMREBATE_AGREEMENT,"Contains all rebate due list entries. It provides a basis for reporting on queries to identify rebate due list with reference Rebate Agreement IDs, Rebate Credit Memo IDs, Account , Products",No
Revenue Forecast Data,CRMRVFU,Shows the revenue from various business transaction documents including opportunities.,No
Service Confirmation Header,CRMSCFHB,"Contains values of service confirmations in total. It allows you to analyze status, workload and responsibility for the organizational units and is used to calculate usage of categories and rate of due date compliance.",No
Service Confirmation Item,CRMSCFIB,"Contains all quantities and values of service confirmation items. It allows you to analyze status, coverage, services and spare parts consumption and is used to calculate its compliance to referenced service order items.",No
Service Confirmation Header,CRMSCSCB,"Contains values of service confirmations in total. It allows you to analyze status, workload and responsibility for the organizational units and is used to calculate usage of categories and rate of due date compliance. (No access context.)",No
Used Service Categories,CRMSCU,"Contains all parameters and values of service categories. It allows you to analyze how often a certain service category has been used in service processes, for example in service requests, service orders and in the knowledge base.",No
Service Order Header & Service Confirmation Item,CRMSHSCIB,Contains service confirmations for service items originating from service orders.,No
Service Level,CRMSLEB,"Contains parameters and values of a service level objective. It allows you to analyze status, usage and is used to calculate the rate of due date compliance in service request and service order processes.",No
Sales Order Header,CRMSLOHB,Contains data on the quantities and values of sales orders in total. It allows you to analyze the development and distribution of sales orders as a workload indicator across organizational units.,No
Sales Order Item,CRMSLOIB,Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units.,No
Sales Order Item with Price Components,CRMSLOIPATCB,"Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .
",No
Sales Order Item Period Values,CRMSLOIPB,Contains sales order revenue data forecasted over the validity period of sales order items.,No
Sales Order Item Schedule Line,CRMSLOISB,Contains sales order revenue data forecasted for the sales order items.,No
Sales Order Item with Invoice Schedule Items,CRMSLOISCU,Contains all sales order items with corresponding invoice schedule items. It allows you to see the planned revenue for each date specified in an invoice schedule.,No
Sales Order Price Components,CRMSLOPATCIU,"Sales Order Document Price and Tax price components analytical object which provides details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Sales Order Item & Service Confirmation Item,CRMSLSCIB,Contains service confirmations for service items originating from sales orders. It helps you to analyze the ordered and the confirmed quantities.,No
Customer Returns Sales Order Reference,CRMSOCRIB,Customer Returns Sales Order Reference,No
Customer Returns,CRMSOCRTU,,No
Service Order and Service Confirmation,CRMSOCU01,Contains service order and service confirmation header and item data. It helps you to track the ordered and the confirmed  quantities and due date compliance.,No
Used Service Categories,CRMSOCU02,"Contains all parameters and values of service categories. It allows you to analyze how often a certain service category has been used in service processes, for example in service requests, service orders and in the knowledge base.",No
Service Order Header,CRMSORHB,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",No
Service Order Header Extended,CRMSORHB01,Contains values of service orders in total.,No
Service Order Item,CRMSORIB,"Contains all quantities and values of service order items. It allows you to analyze status, logistics, planned services and spare parts consumption and to calculate compliance to confirmed services.",No
Service Order Item period values,CRMSORIPB,"Contains values of service order items distributed on monthly periods according to the requested execution timeframe.
It allows you to analyze the revenues that will result from service orders accurately on the time horizon.",No
Service Order Price Components,CRMSORPATCIU,"Service Order Document Price and Tax price components analytical object which provides details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",No
Service Order Header,CRMSOSCB,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties. (No access context.)",No
Assigned KB Articles for Service Order,CRMSOSPB,"Contains all service orders with attached KB articles. It allows you to analyze where and how often a certain KB article was used. 
",No
Service Order Header and Item,CRMSROU,"Contains values of service orders in total and on item level. It allows you to analyze status, workload and responsibility for the organizational units, and to calculate the usage of service categories and warranties.",No
Service Request,CRMSRQHB,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",No
Service Request History,CRMSRQHHB,Contains historical data on the quantities and values of service requests.,No
Service Request,CRMSRSCB,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations. (No access context.)",No
Service Order Item & Service Confirmation Item,CRMSRSCIB,Contains service confirmations for service items originating from service orders. It helps you to analyze the ordered and the confirmed quantities.,No
"Service Order, Sales Order & Service Confirmation Item",CRMSRSOCU,"Contains service confirmations for service items originating either from sales orders or service orders. It helps you to track the ordered, the confirmed and the invoiced quantities.",No
Assigned KB Articles for Service Request,CRMSRSPB,Contains all service requests with and attached KB article. It allows you to analyze where and how often a certain KB article was used.,No
Sales Target Setting,CRMSTPP,"Enables managers to enter and change sales targets with Excel. If this report is opened with a browser, sales targets can be displayed but not changed.",No
Sales Target Setting,CRMSTPU01,"Enables managers to enter and change sales targets with Excel. If this report is opened with a browser, sales targets can be displayed but not changed.",No
Target Group Header,CRMTGPHB,Contains data on the target group header.,No
Target Group Member,CRMTGPMB,"Contains all target group member data. It allows you to analyze target group members by data such as target group life cycle status, target group creation date or target group member number value.",No
Activity Task,CRMTKAHB,Contains all activity tasks. It allows you to analyze the usage of activities by type activity tasks.,No
Account Master Data,CUSTOMER,"Provides account master data, including the account name and ID, country and other address data, information that is specific to a corporate or private account, the Nielsen ID, the account ABC classification, and system administrative information.",No
Material Customer Part Number Master Data,CUST_PART_NUM_MAT,"Provides material Customer part number master data, including material id, description, and account information.",No
Product Customer Part Number Master Data,CUST_PART_NUM_PRODUCT,"Provides product customer part number master data, including material ID, description, and account information.",No
Service Product Customer Part Number Master Data,CUST_PART_NUM_SERVICE,"Provides Service Customer part number master data, including service id, description, and account information.
",No
Entitlement Master Data,ENTITLEMENT,"Provides entitlement master data, including identification, description, product category, and system administration data.",No
Journal Header,FINACCDHB,Journal Header,No
Journal Entry Item,FINACCDIB,Journal Entry Item,No
Journal Entry Voucher,FINACCENB,Provides data for the journal entry vouchers that have been created in the system. The datasource is mainly a master data provider for the journal entry vouchers.,No
Partner Company,FINAFLCOU,Provides data about affiliated companies and affiliated business partners. Attributes provide information about whether the entity is a company or a business partner as well as the time period of affiliation. The data source forms basis for populating the master data of partner companies for many key reports in the general ledger and other areas such as trial balances and financial statements.,No
Accounts Receivables/Payables Cumulative Year Totals,FINARPCTU01,Accounts Receivables/Payables Cumulative Year Totals,No
Bill of Exchange Storage,FINBOESTB,Provides the details of bill of exchange storages.,No
Cost Center - Line Items,FINCACU01,Provides details about the overhead costs incurred by a particular cost center. It is possible to see the costs of multiple cost centers at the same time as well. Aggregates information from the following Data Source: Overhead Costs.,No
Project Line Items,FINCACU02,"Provides details about the costs incurred by a project and the revenues posted against it. These include postings such as time recordings, expense recordings, supplier invoices, or overhead charges. Aggregates information from the following Data Sources: Overhead Costs; Other Direct Costs; Sales Ledger Line Items.
",No
Project Plan Values,FINCACU03,Provides details about the estimated costs for a single project based on the planned quantities for the project work plus the planned expenses. It also indicates the error status of the cost estimate. Aggregates information from the following Data Sources: Cost Estimates of Services; Cost Estimates of Overheads; Cost Estimates of Expenses.,No
Project Cost and Revenue - Aggregated,FINCACU04,"Provides aggregated details about planned costs, actual costs, actual revenues, and deviations for multiple projects or a single project by project task. Also provides a breakdown by the G/L account of origin. Aggregates information from the following Data Sources: Cost Estimates of Services; Cost Estimates of Overheads; Cost Estimates of Expenses; Overhead Costs; Other Direct Costs; Sales Ledger Line Items.",No
Cost Center Master Data,FINCACU05,Provides a list of the available cost centers from the master data. Also provides details about the sales area to which a cost center is linked. Aggregates information from the following Data Source: Master Data - Cost Centers.,No
Cost Center - Plan/Actual Comparison,FINCACU06,Provides details about the overhead costs incurred by a particular cost center. There is a provision to see the costs of multiple cost centers at the same time as well. Aggregates information from the following Data Source: Overhead Costs.,No
Baseline Plan Data Details,FINCACU09,"Baseline DataSource contains the Baseline attributes from the Project Cost Estimate. The Project attributes like project type, market segment attributes etc. are taken from the Base Project linked to the Baseline. In the case of overhead project, the market segment attributes have to be taken from the requesting Cost Center.",No
Cost Centers - Plan/Actual/Forecast,FINCACU16,"Provides details about the overhead costs incurred by cost centers. Aggregates information from data sources for actual costs, plan and forecast values.",No
Financial Plan Details,FINCACU17,"Provides financial plan data related to cost centers, income statement or balance sheet.",No
Planning Object - Budget Monitoring,FINCACU19,Planning Object - Budget Monitoring,No
Financial Budget Snapshot,FINCACU20,Financial Budget Snapshot,No
Revenue Recognition Run Log Section,FINCACU80,,No
Clearing House Account,FINCHACTB,Provides the details of clearing house acccounts.,No
Check Storage,FINCHQSTB,Provides the details of check storages.,No
Free Cost Object,FINCOBMDB,"Provides all free cost object master data information such as the following: cost object type, time-dependent organizational assignments to profit centers, to segments and to functional areas, time-dependent assignment to parent cost objects and market segment data.
Aggregates information from the following Data Sources: Free Cost Object Master Data. 
",No
Primary Cost Object Type,FINCOBTPB,"Provides all the primary cost object types and their descriptions. Those values include cost centers, project task, ..., and in addition all free cost object types.",No
Free Cost Object Master Data,FINCOBU01,"Provides all free cost object master data information such as the following: cost object type, time-dependent organizational assignments to profit centers, to segments and to functional areas, time-dependent assignment to parent cost objects and market segment data.
Aggregates information from the following Data Sources: Free Cost Object Master Data. 
",No
Free Cost Object - Line Items,FINCOBU02,"Provides details about the costs incurred by a Free Cost Object and the revenues posted against it. These include postings such as time
recordings, expense recordings, supplier invoices, or settlements. Aggregates information from the following Data Sources: Other Direct
Costs; Sales Ledger Line Items.",No
FINCOELB,FINCOELB,,No
Contracts,FINCONTRU,"Contracts 
",No
Cash Ledger Cumulative Year Totals,FINCSHCTU01,Cash Ledger Cumulative Year Totals,No
Cash Location,FINCSHLOB,"Provides the details of all cash locations : my bank accounts, clearing house accounts, cash Storage, check storage, bill of exchange storage.",No
Cash Location,FINCSHLOU,"Provides the details of all cash locations : my bank accounts, clearing house accounts, cash Storage, check storage, bill of exchange storage.",No
Petty Cash,FINCSHSTB,Provides the details of every petty cash.,No
Trade Receivables Payables Register Details for KPI Monitoring,FINDUEMMCU01,,No
Dunning History By Customer,FINDUEU01,Provides a detailed dunning history of all overdue payment items for each customer. The aggregated dunning amount and the overdue days are shown for each customer. Aggregates information from the following Data Sources: Dunning Header Details; Dunning Items. This data source forms the basis for the following key report: Dunning History by Customer.,No
Dunning Statistics,FINDUEU03,"Provides total receivable and overdue receivable amount for a customer, total items, and the amount sent to the legal department. It also provides the percentage of the open receivable amount which is dunned and the percentage of the dunning amount sent to the legal department. Aggregates information from the following Data Sources: Dunning Items; AP/AR Details. This data source forms the basis for the following key reports: Dunning Statistics; Current Dunning Statistics.",No
Trade Receivables Payables Register,FINDUEU04,"Provides information about the document amount, the payment amount, and cash discounts of the trade receivables and payables resulting from the business transactions of a company. Aggregates information from the following Data Sources: AP/AR Details, Dunning Items, Reset Clearing Adjustment amount. This data source forms the basis for the following key reports: Open Item List - Suppliers/Customers; Details Item List -Suppliers/Customers; Aging List -Suppliers/Customers; Forecast List -Suppliers/Customers; Payment Statistics -Suppliers/Customers.

",No
Dunning History By Documents,FINDUEU05,"Provides a detailed dunning history of all overdue payment items. This information is provided at the document level, showing the number of times dunned and the dates the overdue payment was dunned. It also provides information pertaining to dunning fees incurred. Aggregates information from the following Data Sources: Dunning Header Details, Dunning Items. This data source forms the basis for the following key  report: Dunning History By Documents.",No
Collection Case,FINDUEU06,,No
Collection Case Transactions,FINDUEU07,,No
TRP Register Open and Cleared Payment with Payment File Id,FINDUEU08,"Provides information about the list of open & cleared documents, document amount, cleared amount, clearing id, payment id and payment file id of the trade receivables and payables resulting from the business transactions of a company. Aggregates information from the following Data Sources: TRP Register Payment File and TRP Register Payment File Open Payment.",No
FINDUEU09,FINDUEU09,,No
Encumbrance - Line Items,FINENCU01,Shows all Encumbrance Lines.,No
Mileage Reimbursements,FINERMB21,Mileage Reimbursements,No
Expense and Reimbursement Details,FINERMU01,"Provides detailed information about expenses and reimbursement rates. Shows the expense amounts, net expense amounts, and VAT amounts, as well as the reimbursement amounts and prepaid amounts. 

Aggregates information from the following Data Sources: Expense Report Information; Expenses and Expense Amounts; Reimbursement Rates. 

This data source forms the basis for the following key reports: Expense Reports - Expenses and Reimbursements; Expense Reports - Input VAT Refund.
",No
